areaovacres,lareaovkey,mukey,muareaovkey
4136,404292,115553,24011422
4136,404293,115553,24011423
4136,404294,115553,24011424
3493,404287,115554,24011425
3493,404288,115554,24011426
1046,404289,115554,24011427
2447,404290,115554,24011428
3493,404291,115554,24011429
3493,404292,115554,24011430
3493,404293,115554,24011431
3493,404294,115554,24011432
12796,404287,115555,24011433
12796,404288,115555,24011434
12796,404289,115555,24011435
12796,404291,115555,24011436
12796,404292,115555,24011437
12796,404293,115555,24011438
12796,404294,115555,24011439
758,404287,115556,24011440
758,404288,115556,24011441
729,404289,115556,24011442
29,404290,115556,24011443
758,404291,115556,24011444
758,404292,115556,24011445
758,404293,115556,24011446
758,404294,115556,24011447
21085,404287,115557,24011518
21085,404288,115557,24011519
21071,404289,115557,24011520
14,404290,115557,24011521
21085,404291,115557,24011522
21085,404292,115557,24011523
21085,404293,115557,24011524
21085,404294,115557,24011525
4790,404287,115558,24011448
4790,404288,115558,24011449
4735,404289,115558,24011450
55,404290,115558,24011451
4790,404291,115558,24011452
4790,404292,115558,24011453
4790,404293,115558,24011454
4790,404294,115558,24011455
48740,404287,115559,24011456
48740,404288,115559,24011457
48520,404289,115559,24011458
220,404290,115559,24011459
48740,404291,115559,24011460
48740,404292,115559,24011461
48740,404293,115559,24011462
48740,404294,115559,24011463
427,404287,115560,24011464
427,404288,115560,24011465
427,404289,115560,24011466
427,404291,115560,24011467
427,404292,115560,24011468
427,404293,115560,24011469
427,404294,115560,24011470
26057,404287,115561,24011471
26057,404288,115561,24011472
5658,404289,115561,24011473
20399,404290,115561,24011474
26057,404291,115561,24011475
26057,404292,115561,24011476
26057,404293,115561,24011477
26057,404294,115561,24011478
7798,404287,115562,24011479
7798,404288,115562,24011480
1205,404289,115562,24011481
6593,404290,115562,24011482
7798,404291,115562,24011483
7798,404292,115562,24011484
7798,404293,115562,24011485
7798,404294,115562,24011486
227,404287,115563,24011487
227,404288,115563,24011488
227,404290,115563,24011489
227,404291,115563,24011490
227,404292,115563,24011491
227,404293,115563,24011492
227,404294,115563,24011493
34625,404287,115564,24011494
34625,404288,115564,24011495
34585,404289,115564,24011496
40,404290,115564,24011497
34625,404291,115564,24011498
34625,404292,115564,24011499
34625,404293,115564,24011500
34625,404294,115564,24011501
3040,404287,115565,24011502
3040,404288,115565,24011503
1903,404289,115565,24011504
1137,404290,115565,24011505
3040,404291,115565,24011506
3040,404292,115565,24011507
3040,404293,115565,24011508
3040,404294,115565,24011509
105,404287,1885122,24011510
105,404288,1885122,24011511
103,404289,1885122,24011512
2,404290,1885122,24011513
105,404291,1885122,24011514
105,404292,1885122,24011515
105,404293,1885122,24011516
105,404294,1885122,24011517
