geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landscape,coastal plains,,NA,NA,Yes,17728536,26874138
Landform,Carolina Bays,,NA,1,No ,17728579,26874197
Landform,marine terraces,,1,NA,Yes,17728579,26874198
Landscape,coastal plains,,NA,NA,Yes,17728579,26874199
Landform,broad interstream divides,flat,NA,1,No ,17728579,26874200
Landform,flats,,NA,1,No ,17728579,26874201
Landform,flats,,NA,1,Yes,17728580,26874202
Landscape,coastal plains,,NA,NA,Yes,17728580,26874203
Landform,broad interstream divides,,NA,NA,No ,17728580,26874204
Landform,Carolina Bays,,NA,1,No ,17728581,26874205
Landform,broad interstream divides,,NA,1,No ,17728581,26874206
Landform,marine terraces,,1,NA,Yes,17728581,26874207
Landscape,coastal plains,,NA,NA,Yes,17728581,26874208
Landform,flats,,NA,1,No ,17728581,26874209
Landform,broad interstream divides,,NA,1,No ,17728606,26874210
Landform,marine terraces,,1,NA,Yes,17728606,26874211
Landscape,coastal plains,,NA,NA,Yes,17728606,26874212
Landform,flats,,NA,1,No ,17728606,26874213
Landform,broad interstream divides,,NA,1,Yes,17728613,26874140
Landform,flats,,NA,1,Yes,17728613,26874141
Landform,marine terraces,,1,NA,Yes,17728613,26874142
Landscape,coastal plains,,NA,NA,Yes,17728613,26874143
Landform,flats,,NA,1,Yes,17728614,26874144
Landform,depressions,,NA,1,No ,17728614,26874145
Landform,broad interstream divides,,NA,1,No ,17728614,26874146
Landform,marine terraces,,1,NA,Yes,17728614,26874147
Landscape,coastal plains,,NA,NA,Yes,17728614,26874148
Landform,flats,,NA,1,Yes,17728615,26874149
Landform,marine terraces,,1,NA,Yes,17728615,26874150
Landscape,coastal plains,,NA,NA,Yes,17728615,26874151
Landform,depressions,,NA,NA,Yes,17728616,26874152
Landscape,coastal plains,,NA,NA,Yes,17728616,26874153
Landform,flats,,NA,1,Yes,17728569,26874154
Landform,Carolina Bays,,NA,1,No ,17728569,26874155
Landform,depressions,,NA,2,Yes,17728569,26874156
Landform,marine terraces,,1,NA,Yes,17728569,26874157
Landform,stream terraces,,2,NA,No ,17728569,26874158
Landscape,coastal plains,,NA,NA,Yes,17728569,26874159
Landform,flats,,NA,1,Yes,17728570,26874160
Landform,Carolina Bays,,NA,1,No ,17728570,26874161
Landform,depressions,,NA,2,Yes,17728570,26874162
Landform,marine terraces,,1,NA,Yes,17728570,26874163
Landform,stream terraces,,2,NA,No ,17728570,26874164
Landscape,coastal plains,,NA,NA,Yes,17728570,26874165
Anthropogenic Feature,urban land,,NA,NA,Yes,17728620,26874166
Landform,marine terraces,,1,NA,Yes,17728558,26874167
Landscape,coastal plains,,NA,NA,Yes,17728558,26874168
Landform,ridges,low,NA,1,Yes,17728558,26874169
Landform,flood plains,,NA,NA,Yes,17728559,26874170
Landscape,coastal plains,,NA,NA,Yes,17728559,26874171
Landform,flats,,NA,1,Yes,17728560,26874172
Landform,marine terraces,,1,NA,Yes,17728560,26874173
Landscape,coastal plains,,NA,NA,Yes,17728560,26874174
Anthropogenic Feature,urban land,,NA,NA,Yes,17728586,26874175
Landform,flats,,NA,1,Yes,17728587,26874176
Landform,marine terraces,,1,NA,Yes,17728587,26874177
Landscape,coastal plains,,NA,NA,Yes,17728587,26874178
Anthropogenic Feature,urban land,,NA,NA,Yes,17728588,26874179
Landform,ridges,low,NA,1,Yes,17728588,26874180
Landform,marine terraces,,1,NA,Yes,17728588,26874181
Landscape,coastal plains,,NA,NA,Yes,17728588,26874182
Landform,flats,,NA,1,Yes,17728617,26874183
Landform,depressions,,NA,1,No ,17728617,26874184
Landform,broad interstream divides,,NA,1,No ,17728617,26874185
Landform,marine terraces,,1,NA,Yes,17728617,26874186
Landscape,coastal plains,,NA,NA,Yes,17728617,26874187
Landform,flats,,NA,1,Yes,17728618,26874188
Landform,depressions,,NA,1,No ,17728618,26874189
Landform,broad interstream divides,,NA,1,No ,17728618,26874190
Landform,marine terraces,,1,NA,Yes,17728618,26874191
Landscape,coastal plains,,NA,NA,Yes,17728618,26874192
Landform,tidal marshes,,NA,NA,Yes,17728596,26874193
Landscape,esturaries,,NA,NA,Yes,17728596,26874194
Landform,hills,,NA,NA,Yes,17728597,26874195
Landscape,islands,,NA,NA,Yes,17728597,26874196
