aashtocl,rvindicator,chkey,chaashtokey
A-3,Yes,51721074,84501236
A-2-4,No ,51721075,84501237
A-3,Yes,51721075,84501238
A-3,Yes,51721076,84501239
A-2-4,No ,51721077,84501240
A-3,Yes,51721077,84501241
A-2-4,No ,51721078,84501242
A-3,Yes,51721078,84501243
A-2,No ,51721079,84501244
A-3,Yes,51721079,84501245
A-2,No ,51721080,84501246
A-3,Yes,51721080,84501247
A-2-4,Yes,51721081,84501248
A-2-4,No ,51721082,84501249
A-1-b,No ,51721082,84501250
A-3,Yes,51721082,84501251
A-2-4,No ,51721083,84501252
A-4,No ,51721083,84501253
A-3,Yes,51721083,84501254
A-1-b,No ,51721083,84501255
A-2-4,No ,51721084,84501256
A-3,Yes,51721084,84501257
A-1-b,No ,51721084,84501258
A-1-b,No ,51721085,84501259
A-2-4,No ,51721085,84501260
A-3,Yes,51721085,84501261
A-1-b,No ,51721086,84501262
A-2-4,No ,51721086,84501263
A-3,Yes,51721086,84501264
A-4,Yes,51721056,84501209
A-2-4,Yes,51721057,84501210
A-4,No ,51721057,84501211
A-2-4,Yes,51721095,84501277
A-3,No ,51721095,84501278
A-2-4,Yes,51721096,84501279
A-3,No ,51721096,84501280
A-2-4,No ,51721097,84501281
A-3,Yes,51721097,84501282
A-3,Yes,51721027,84501143
A-3,Yes,51721028,84501144
A-3,Yes,51721029,84501145
A-1-b,Yes,51721030,84501146
A-3,No ,51721030,84501147
A-3,Yes,51720930,84500968
A-3,Yes,51720931,84500969
A-1-b,No ,51720920,84500946
A-2-4,Yes,51720920,84500947
A-4,No ,51720920,84500948
A-1-b,No ,51720921,84500949
A-2-4,Yes,51720921,84500950
A-4,No ,51720921,84500951
A-1-b,No ,51720922,84500952
A-2-4,Yes,51720922,84500953
A-4,No ,51720922,84500954
A-1-b,No ,51720923,84500955
A-2-4,Yes,51720923,84500956
A-4,No ,51720923,84500957
A-2-4,Yes,51720924,84500958
A-4,Yes,51720925,84500959
A-6,No ,51720925,84500960
A-4,No ,51720926,84500961
A-6,Yes,51720926,84500962
A-7-6,No ,51720926,84500963
A-2-4,Yes,51720927,84500964
A-4,No ,51720927,84500965
A-4,Yes,51720928,84500966
A-7-6,No ,51720986,84501062
A-6,Yes,51720986,84501063
A-2-4,No ,51720987,84501064
A-6,Yes,51720987,84501065
A-4,No ,51720988,84501066
A-2-4,Yes,51720988,84501067
A-2-4,Yes,51720989,84501068
A-4,No ,51720989,84501069
A-2-4,Yes,51720990,84501070
A-6,No ,51720990,84501071
A-2-4,Yes,51720991,84501072
A-2-4,Yes,51720992,84501073
A-2-4,Yes,51720993,84501074
A-4,No ,51720993,84501075
A-2-4,Yes,51720994,84501076
A-4,No ,51720994,84501077
A-2-4,No ,51720995,84501078
A-4,Yes,51720995,84501079
A-2-4,No ,51720996,84501080
