soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,122,152,203,Moist,185909696,115420643
122,152,203,203,203,203,Wet,185909696,115420644
0,0,0,203,203,203,Moist,185909697,115420645
102,122,183,203,203,203,Wet,185909698,115420646
0,0,0,102,122,183,Moist,185909698,115420647
0,0,0,0,0,30,Moist,185909087,115419696
0,0,30,203,203,203,Wet,185909087,115419697
0,0,0,0,0,30,Moist,185909088,115419698
0,0,30,203,203,203,Wet,185909088,115419699
0,0,0,0,15,30,Moist,185909089,115419700
0,15,30,203,203,203,Wet,185909089,115419701
0,0,0,0,15,30,Moist,185909090,115419702
0,15,30,203,203,203,Wet,185909090,115419703
0,0,0,15,23,30,Moist,185909091,115419704
15,23,30,203,203,203,Wet,185909091,115419705
0,0,0,46,81,122,Moist,185909092,115419706
46,81,122,203,203,203,Wet,185909092,115419707
122,137,152,203,203,203,Wet,185909093,115419708
0,0,0,122,137,152,Moist,185909093,115419709
0,0,0,203,203,203,Moist,185909094,115419710
0,0,0,203,203,203,Moist,185909095,115419711
0,0,0,122,137,152,Moist,185909096,115419712
122,137,152,203,203,203,Wet,185909096,115419713
0,0,0,30,46,76,Moist,185909097,115419714
30,46,76,203,203,203,Wet,185909097,115419715
0,0,0,0,15,30,Moist,185909098,115419716
0,15,30,203,203,203,Wet,185909098,115419717
0,0,0,0,0,30,Moist,185909099,115419718
0,0,30,203,203,203,Wet,185909099,115419719
0,0,0,0,0,30,Moist,185909100,115419720
0,0,30,203,203,203,Wet,185909100,115419721
0,0,0,0,15,30,Moist,185909101,115419722
0,15,30,203,203,203,Wet,185909101,115419723
0,0,0,15,23,30,Moist,185909102,115419724
15,23,30,203,203,203,Wet,185909102,115419725
0,0,0,46,81,122,Moist,185909103,115419726
46,81,122,203,203,203,Wet,185909103,115419727
