unifiedcl,rvindicator,chkey,chunifiedkey
SP-SM,No ,51720919,96936546
SM,No ,51720947,96936605
SC-SM,Yes,51720947,96936606
SC,No ,51720947,96936607
SC-SM,Yes,51720948,96936608
CL-ML,No ,51720948,96936609
ML,No ,51720948,96936610
CL,No ,51720948,96936611
SC,No ,51720948,96936612
SM,No ,51720948,96936613
SM,No ,51720949,96936614
SC-SM,No ,51720949,96936615
SC,Yes,51720949,96936616
ML,No ,51720949,96936617
CL,No ,51720949,96936618
SM,Yes,51720950,96936619
SW-SM,No ,51720950,96936620
SC-SM,No ,51720950,96936621
SM,No ,51720951,96936622
SC-SM,Yes,51720951,96936623
SC,No ,51720951,96936624
SC-SM,Yes,51720952,96936625
CL-ML,No ,51720952,96936626
ML,No ,51720952,96936627
CL,No ,51720952,96936628
SC,No ,51720952,96936629
SM,No ,51720952,96936630
SM,No ,51720953,96936631
SC-SM,No ,51720953,96936632
SC,Yes,51720953,96936633
ML,No ,51720953,96936634
CL,No ,51720953,96936635
SM,Yes,51720954,96936636
SW-SM,No ,51720954,96936637
SC-SM,No ,51720954,96936638
SM,No ,51721130,96936991
SC,No ,51721130,96936992
SC-SM,Yes,51721130,96936993
SM,No ,51721131,96936994
SC-SM,Yes,51721131,96936995
SC,No ,51721131,96936996
SM,No ,51721132,96936997
SC-SM,Yes,51721132,96936998
SC,No ,51721132,96936999
CL,No ,51721133,96937000
SC-SM,No ,51721133,96937001
SC,Yes,51721133,96937002
CL,No ,51721134,96937003
SC,Yes,51721134,96937004
SM,No ,51721134,96937005
SC,Yes,51721135,96937006
CH,No ,51721135,96937007
CL,No ,51721136,96937008
SC,Yes,51721136,96937009
SC,Yes,51721137,96937010
SM,No ,51721137,96937011
SC,Yes,51721138,96937012
SM,No ,51721138,96937013
SC,Yes,51721139,96937014
CL,No ,51721139,96937015
SM,No ,51721139,96937016
SM,No ,51721140,96937017
SC,Yes,51721140,96937018
ML,No ,51721140,96937019
SC,Yes,51721141,96937020
CL,No ,51721141,96937021
SC,Yes,51721142,96937022
CL,No ,51721142,96937023
SC,Yes,51721143,96937024
CL,No ,51721143,96937025
SC-SM,Yes,51721144,96937026
SM,No ,51721144,96937027
SC,No ,51721144,96937028
SC,Yes,51721145,96937029
SM,No ,51721145,96937030
SC,Yes,51721146,96937031
SM,No ,51721146,96937032
SC,Yes,51721147,96937033
CL,No ,51721147,96937034
SC-SM,No ,51721147,96937035
SC,Yes,51721148,96937036
CH,No ,51721148,96937037
CL,No ,51721149,96937038
SC,Yes,51721149,96937039
SP,Yes,51721073,96936869
SP-SM,No ,51721073,96936870
SP,Yes,51721074,96936871
SP-SM,No ,51721074,96936872
SM,No ,51721075,96936873
SP-SM,Yes,51721075,96936874
SP,Yes,51721076,96936875
SP-SM,No ,51721076,96936876
SP,No ,51721077,96936877
SP-SM,Yes,51721077,96936878
SM,Yes,51721078,96936879
SP-SM,No ,51721078,96936880
SM,Yes,51721079,96936881
SP-SM,No ,51721079,96936882
SP,Yes,51721080,96936883
SP-SM,No ,51721080,96936884
SM,Yes,51721081,96936885
SM,No ,51721082,96936886
SP-SM,Yes,51721082,96936887
SM,No ,51721083,96936888
SP-SM,Yes,51721083,96936889
SM,No ,51721084,96936890
SP-SM,Yes,51721084,96936891
SM,No ,51721085,96936892
SP-SM,Yes,51721085,96936893
SM,No ,51721086,96936894
SP-SM,Yes,51721086,96936895
CL,No ,51721056,96936832
CL-ML,No ,51721056,96936833
SM,No ,51721056,96936834
SC,Yes,51721056,96936835
SM,Yes,51721057,96936836
SC-SM,No ,51721057,96936837
SM,Yes,51721095,96936915
SP-SM,No ,51721095,96936916
SM,Yes,51721096,96936917
SP-SM,No ,51721096,96936918
SP-SM,Yes,51721097,96936919
SP,Yes,51721027,96936780
SP-SM,No ,51721027,96936781
SP,Yes,51721028,96936782
SP-SM,No ,51721028,96936783
SP,Yes,51721029,96936784
SP-SM,No ,51721029,96936785
SP,Yes,51721030,96936786
SP,Yes,51720930,96936568
SP-SM,No ,51720930,96936569
SP,Yes,51720931,96936570
SP-SM,No ,51720931,96936571
SM,Yes,51720920,96936547
SM,Yes,51720921,96936548
SM,Yes,51720922,96936549
SM,Yes,51720923,96936550
SP-SM,No ,51720923,96936551
SW-SM,No ,51720923,96936552
SM,Yes,51720924,96936553
CL,No ,51720925,96936554
CL-ML,No ,51720925,96936555
SC,Yes,51720925,96936556
SC-SM,No ,51720925,96936557
CL,No ,51720926,96936558
CL-ML,No ,51720926,96936559
SC,No ,51720926,96936560
SC-SM,No ,51720926,96936561
ML,Yes,51720926,96936562
SM,No ,51720927,96936563
SC-SM,Yes,51720927,96936564
CL,Yes,51720928,96936565
CL-ML,No ,51720928,96936566
CL,No ,51720986,96936696
SC,Yes,51720986,96936697
CL,No ,51720987,96936698
SC,Yes,51720987,96936699
SC-SM,No ,51720988,96936700
SM,No ,51720988,96936701
SC,Yes,51720988,96936702
ML,No ,51720989,96936703
CL,No ,51720989,96936704
CL-ML,No ,51720989,96936705
SM,Yes,51720989,96936706
CL,No ,51720990,96936707
CL-ML,No ,51720990,96936708
SC,Yes,51720990,96936709
SC-SM,No ,51720990,96936710
SM,No ,51720991,96936711
SC-SM,Yes,51720991,96936712
SM,No ,51720992,96936713
SC-SM,Yes,51720992,96936714
SM,Yes,51720993,96936715
SM,Yes,51720994,96936716
SP-SM,No ,51720994,96936717
SC-SM,Yes,51720995,96936718
SM,No ,51720995,96936719
SM,No ,51720996,96936720
