comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
80,85,95,Pewamo,Series,Yes,,low carbonate till,0,1,2,15,31,61,Negligible,5,48,6,None - deposition,Crop cover,Row crop,,Yes,Very poorly drained,244,275,305,360,135,0,"depressions on till plains, drainageways on till plains",0.16,0.17,0.23,9,10,12,864,965,1067,NA,NA,NA,145,165,180,2,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine, mixed, active, mesic Typic Argiaquolls",Mollisols,Aquolls,Argiaquolls,Typic Argiaquolls,fine,not used,active,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168588,17961051
80,85,100,Shoals,Series,Yes,,,0,1,2,46,61,76,Low,5,48,6,None - deposition,Crop cover,Row crop,,No,Somewhat poorly drained,103.6,205.7,304.8,360,135,0,"flood plains, river valleys",0.23,0.29,0.37,9,11,13,860,960,1060,NA,NA,NA,140,160,180,2,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Low,High,"Fine-loamy, mixed, superactive, nonacid, mesic Fluventic Endoaquepts",Inceptisols,Aquepts,Endoaquepts,Fluventic Endoaquepts,fine-loamy,not used,superactive,nonacid,mesic,Aeric,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168591,17961097
0,8,9,Sloan,Series,No ,,,0,1,2,46,61,76,Negligible,5,48,6,None - deposition,Crop cover,Row crop,,Yes,Very poorly drained,103.6,205.7,304.8,360,135,0,"flood plains, river valleys",0.12,0.23,0.23,9,11,13,860,960,1060,NA,NA,NA,140,160,180,3,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,B/D,Low,High,"Fine-loamy, mixed, superactive, mesic Fluvaquentic Endoaquolls",Mollisols,Aquolls,Endoaquolls,Fluvaquentic Endoaquolls,fine-loamy,not used,superactive,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168591,17961098
0,7,9,Eel,Series,No ,MAAT>50,,0,1,2,46,61,76,Low,5,48,6,None - deposition,Crop cover,Row crop,,No,Moderately well drained,103.6,205.7,304.8,360,135,0,"flood plains, river valleys",0.23,0.29,0.37,9,11,13,860,960,1060,NA,NA,NA,140,160,180,2,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,C,Low,High,"Fine-loamy, mixed, superactive, mesic Fluvaquentic Eutrudepts",Inceptisols,Udepts,Eutrudepts,Fluvaquentic Eutrudepts,fine-loamy,not used,superactive,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168591,17961099
80,85,90,Bennington,Series,Yes,,,0,1,2,15,31,46,High,5,48,6,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,244,275,305,360,135,0,"end moraines on till plains, ground moraines on till plains",0.29,0.29,0.37,9,10,12,864,965,1067,NA,NA,NA,145,165,180,2,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Moderate,High,"Fine, illitic, mesic Aeric Epiaqualfs",Alfisols,Aqualfs,Epiaqualfs,Aeric Epiaqualfs,fine,not used,not used,not used,mesic,Aeric,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,1019357,17961214
0,7,12,Cardington,Series,No ,,,2,4,6,15,46,61,High,5,48,6,Class 1,Crop cover,Row crop,,No,Moderately well drained,244,275,305,360,135,0,"end moraines on till plains, ground moraines on till plains",0.27,0.29,0.37,9,10,12,864,965,1067,NA,NA,NA,145,165,180,2,e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,C/D,Moderate,High,"Fine, illitic, mesic Aquic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Aquic Hapludalfs,fine,not used,not used,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,1019357,17961215
0,5,10,Condit,Series,No ,,,0,1,2,15,31,46,Negligible,5,48,6,None - deposition,Crop cover,Row crop,,Yes,Poorly drained,244,275,305,360,135,0,"depressions on till plains, drainageways on till plains",0.23,0.3,0.3,9,10,12,864,965,1067,NA,NA,NA,145,165,180,3,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Moderate,High,"Fine, illitic, mesic Typic Epiaqualfs",Alfisols,Aqualfs,Epiaqualfs,Typic Epiaqualfs,fine,not used,not used,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,1019357,17961216
0,3,8,Pewamo,Series,No ,,low carbonate till,0,1,2,15,31,61,Negligible,5,48,6,None - deposition,Crop cover,Row crop,,Yes,Very poorly drained,244,275,305,360,135,0,"depressions on till plains, drainageways on till plains",0.16,0.17,0.23,9,10,12,864,965,1067,NA,NA,NA,145,165,180,2,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine, mixed, active, mesic Typic Argiaquolls",Mollisols,Aquolls,Argiaquolls,Typic Argiaquolls,fine,not used,active,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,1019357,17961217
0,4,10,Condit,Series,No ,,,0,1,2,15,31,46,Negligible,5,48,6,None - deposition,Crop cover,Row crop,,Yes,Poorly drained,213,298,427,360,135,0,"depressions on till plains, drainageways on till plains",0.23,0.3,0.3,9,10,13,864,990,1067,NA,NA,NA,150,165,180,3,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Moderate,High,"Fine, illitic, mesic Typic Epiaqualfs",Alfisols,Aqualfs,Epiaqualfs,Typic Epiaqualfs,fine,not used,not used,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,2996476,17961227
0,3,6,Pewamo,Series,No ,,low carbonate till,0,0.5,2,15,46,61,Negligible,5,48,6,None - deposition,Crop cover,Row crop,,Yes,Very poorly drained,213,298,427,360,135,0,"depressions on till plains, drainageways on till plains",0.16,0.17,0.23,9,10,13,864,990,1067,NA,NA,NA,150,165,180,2,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine, mixed, active, mesic Typic Argiaquolls",Mollisols,Aquolls,Argiaquolls,Typic Argiaquolls,fine,not used,active,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,2996476,17961228
75,85,90,Cardington,Series,Yes,,,2,3,6,15,46,61,Medium,5,56,5,Class 1,Crop cover,Row crop,,No,Moderately well drained,213,298,427,360,135,0,"end moraines on till plains, ground moraines on till plains",0.27,0.29,0.37,9,10,13,864,990,1067,NA,NA,NA,150,165,180,2,e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,C/D,Moderate,High,"Fine, illitic, mesic Aquic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Aquic Hapludalfs,fine,not used,not used,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,2996476,17961229
