plantsym,plantsciname,plantcomname,cokey,cotreestomngkey
QUAL,Quercus alba,white oak,17961230,30923358
PODE3,Populus deltoides,eastern cottonwood,17961230,30923359
QURU,Quercus rubra,northern red oak,17961230,30923360
FRAM2,Fraxinus americana,white ash,17961230,30923361
JUVI,Juniperus virginiana,eastern redcedar,17961230,30923362
QUVE,Quercus velutina,black oak,17961230,30923363
ACRU,Acer rubrum,red maple,17961230,30923364
PIST,Pinus strobus,eastern white pine,17961230,30923365
FRPE,Fraxinus pennsylvanica,green ash,17961230,30923366
PRSE2,Prunus serotina,black cherry,17961230,30923367
ROPS,Robinia pseudoacacia,black locust,17961230,30923368
