soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,15,30,200,200,200,Wet,183479616,113780418
0,0,0,0,15,30,Moist,183479617,113780419
0,15,30,200,200,200,Wet,183479617,113780420
0,0,0,0,15,30,Moist,183479618,113780421
0,15,30,200,200,200,Wet,183479618,113780422
0,0,0,0,15,30,Moist,183479619,113780423
0,15,30,200,200,200,Wet,183479619,113780424
0,0,0,0,15,30,Moist,183479627,113780425
0,15,30,200,200,200,Wet,183479627,113780426
0,0,0,0,15,30,Moist,183479628,113780427
0,15,30,200,200,200,Wet,183479628,113780428
0,0,0,0,15,30,Moist,183479629,113780429
0,15,30,200,200,200,Wet,183479629,113780430
0,0,0,0,15,30,Moist,183479630,113780431
0,15,30,200,200,200,Wet,183479630,113780432
0,0,0,0,15,30,Moist,183479631,113780433
0,15,30,200,200,200,Wet,183479631,113780434
